,Id,Period,Time,Player,TM,Foul,Season
0,291144,3. část,02:15,21 Michael Obrtel,2,909 hrubost,2021/2022
1,291144,3. část,07:01,8 Filip Weber,2,901 sekání,2021/2022
0,291700,1. část,08:27,61 Aleš Bambas,2,901 sekání,2021/2022
1,291700,2. část,07:51,77 Ctibor Chmelař,2,901 sekání,2021/2022
2,291700,3. část,01:03,77 Ctibor Chmelař,2,915 nedovolená vzdálenost,2021/2022
3,291700,3. část,05:11,94 Ladislav Tyll,2,902 blokování hokejky,2021/2022
4,291700,3. část,11:37,8 Filip Weber,2,902 blokování hokejky,2021/2022
0,293466,2. část,08:41,61 Aleš Bambas,2,902 blokování hokejky,2021/2022
1,293466,3. část,01:24,98 Matěj Soukup,2,901 sekání,2021/2022
0,297187,3. část,10:18,98 Matěj Soukup,2,911 bránění ve hře,2021/2022
0,297199,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,300872,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,300871,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,304844,3. část,11:48,78 Václav Štochl,2,925 nesportovní chování,2021/2022
0,304843,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,307481,2. část,05:51,88 Michal Rosí,2,901 sekání,2021/2022
1,307481,2. část,09:03,4 Jakub Mádr,2,902 blokování hokejky,2021/2022
0,307487,2. část,06:54,21 Michael Obrtel,2,901 sekání,2021/2022
1,307487,3. část,00:53,31 Pavel Malý,5,909 hrubost,2021/2022
